                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   77077077 |   87632743 |   89077361 |   88578178 |   88593528 |   85882521 |   85614873 |   88495110 |   89206540 |   83576361 |   89913932 |   85897669 |   80658389 |   89571821 |   82464855 |   89073744
  Cycles                             |   50015393 |   50015393 |   50015393 |   50015393 |   50015393 |   50015393 |   50015393 |   50015393 |   50015393 |   50015393 |   50015393 |   50015393 |   50015393 |   50015393 |   50015393 |   50015393
  IPC                                |       1.54 |       1.75 |       1.78 |       1.77 |       1.77 |       1.72 |       1.71 |       1.77 |       1.78 |       1.67 |       1.80 |       1.72 |       1.61 |       1.79 |       1.65 |       1.78
  Time (ns)                          |   18802780 |   18802780 |   18802780 |   18802780 |   18802780 |   18802780 |   18802780 |   18802780 |   18802780 |   18802780 |   18802780 |   18802780 |   18802780 |   18802780 |   18802780 |   18802780
  Idle time (ns)                     |    2535721 |     447994 |     160468 |     257674 |     268864 |     808364 |     864827 |     278246 |     123785 |    1267552 |       4555 |     814669 |    1847987 |      84728 |    1497750 |     178984
  Idle time (%)                      |      13.5% |       2.4% |       0.9% |       1.4% |       1.4% |       4.3% |       4.6% |       1.5% |       0.7% |       6.7% |       0.0% |       4.3% |       9.8% |       0.5% |       8.0% |       1.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   19032691 |   21671432 |   22032699 |   21907921 |   21911676 |   21234016 |   21167018 |   21887087 |   22064900 |   20657493 |   22241881 |   21237868 |   19927948 |   22156342 |   20379636 |   22031725
  num incorrect                      |       1049 |       1229 |       1127 |       1104 |       1185 |       1088 |       1180 |       1167 |       1202 |       1074 |       1075 |       1020 |       1126 |       1090 |       1059 |       1184
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00% |      0.00% |      0.01% |      0.00% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   38070383 |   43348236 |   44070594 |   43820978 |   43828646 |   42473118 |   42339322 |   43779404 |   44135096 |   41320052 |   44488818 |   42480678 |   39861066 |   44317782 |   40764320 |   44068726
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   38795548 |   44073385 |   44795701 |   44546106 |   44553780 |   43198273 |   43064453 |   44504572 |   44860278 |   42045195 |   45213979 |   43205845 |   40586209 |   45042925 |   41489445 |   44793884
    num cache misses                 |      23183 |      26348 |      26699 |      26573 |      26512 |      25526 |      25406 |      26254 |      26647 |      24777 |      26640 |      25314 |      23916 |      26394 |      24244 |      26175
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.29 |       0.30 |       0.29 |       0.29 |       0.29
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      24431 |      27336 |      27727 |      27583 |      27530 |      26563 |      26446 |      27290 |      27816 |      25843 |      27615 |      26342 |      24955 |      27435 |      25289 |      27239
    num cache misses                 |      23199 |      26364 |      26715 |      26589 |      26528 |      25542 |      25422 |      26269 |      26663 |      24793 |      26656 |      25330 |      23932 |      26410 |      24260 |      26191
    miss rate                        |     94.96% |     96.44% |     96.35% |     96.40% |     96.36% |     96.16% |     96.13% |     96.26% |     95.85% |     95.94% |     96.53% |     96.16% |     95.90% |     96.26% |     95.93% |     96.15%
    mpki                             |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.29 |       0.30 |       0.29 |       0.29 |       0.29
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      24431 |      27336 |      27727 |      27583 |      27530 |      26563 |      26446 |      27290 |      27816 |      25843 |      27615 |      26342 |      24955 |      27435 |      25289 |      27239
    num cache misses                 |      12290 |      14108 |      14360 |      13991 |      13807 |      13115 |      13021 |      13948 |      14552 |      13226 |      14286 |      13107 |      12080 |      13713 |      12154 |      13724
    miss rate                        |     50.30% |     51.61% |     51.79% |     50.72% |     50.15% |     49.37% |     49.24% |     51.11% |     52.32% |     51.18% |     51.73% |     49.76% |     48.41% |     49.98% |     48.06% |     50.38%
    mpki                             |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.15 |       0.15 |       0.16 |       0.16 |       0.16 |       0.16 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         87 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     216.76 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     163.33 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          3 |          4 |          4 |          3 |          5 |          4 |          4 |          3 |          3 |          4 |          3 |          3 |          4 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       6934 |       7733 |       8074 |       7851 |       7853 |       7534 |       7532 |       7762 |       7986 |       7275 |       8044 |       7448 |       6816 |       7926 |       6994 |       7937
