                                     | Core 0     | Core 1    
  Instructions                       |    7654587 |    7559332
  Cycles                             |    6929999 |    6929999
  IPC                                |       1.10 |       1.09
  Time (ns)                          |    2605263 |    2605263
  Idle time (ns)                     |     100621 |     118130
  Idle time (%)                      |       3.9% |       4.5%
Branch predictor stats               |            |           
  num correct                        |    1677944 |    1654145
  num incorrect                      |        450 |        446
  misprediction rate                 |      0.03% |      0.03%
  mpki                               |       0.06 |       0.06
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3359754 |    3312156
    num cache misses                 |         13 |         15
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    4084824 |    4037207
    num cache misses                 |       2570 |       2685
    miss rate                        |      0.06% |      0.07%
    mpki                             |       0.34 |       0.36
  Cache L2                           |            |           
    num cache accesses               |       3568 |       3570
    num cache misses                 |         23 |          8
    miss rate                        |      0.64% |      0.22%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         25 |         11
    num cache misses                 |         23 |          8
    miss rate                        |     92.00% |     72.73%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      98.77 |        inf
  average dram queueing delay        |      45.34 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
