                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1152937 |    1205607 |    1388303 |    1321683
  Cycles                             |    1163181 |    1163181 |    1163181 |    1163181
  IPC                                |       0.99 |       1.04 |       1.19 |       1.14
  Time (ns)                          |     437286 |     437286 |     437286 |     437286
  Idle time (ns)                     |     143898 |     134054 |      99714 |     112747
  Idle time (%)                      |      32.9% |      30.7% |      22.8% |      25.8%
Branch predictor stats               |            |            |            |           
  num correct                        |     254873 |     268024 |     313700 |     297071
  num incorrect                      |        606 |        619 |        615 |        594
  misprediction rate                 |      0.24% |      0.23% |      0.20% |      0.20%
  mpki                               |       0.53 |       0.51 |       0.44 |       0.45
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     513912 |     540225 |     631571 |     598296
    num cache misses                 |         15 |         16 |         17 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     609000 |     635325 |     726675 |     693368
    num cache misses                 |       5511 |       5848 |       6432 |       6155
    miss rate                        |      0.90% |      0.92% |      0.89% |      0.89%
    mpki                             |       4.78 |       4.85 |       4.63 |       4.66
  Cache L2                           |            |            |            |           
    num cache accesses               |       6803 |       6838 |       7291 |       7098
    num cache misses                 |         19 |          9 |          5 |         10
    miss rate                        |      0.28% |      0.13% |      0.07% |      0.14%
    mpki                             |       0.02 |       0.01 |       0.00 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         20 |         12 |          9 |         13
    num cache misses                 |         19 |          9 |          5 |         10
    miss rate                        |     95.00% |     75.00% |     55.56% |     76.92%
    mpki                             |       0.02 |       0.01 |       0.00 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     168.88 |        inf |        inf |        inf
  average dram queueing delay        |     115.45 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          3 |          3 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
