                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3209433 |    3247804 |    3559836 |    3614248 |    3096790 |    2874842 |    3092378 |    3504393
  Cycles                             |    2503231 |    2503231 |    2503231 |    2503231 |    2503231 |    2503231 |    2503231 |    2503231
  IPC                                |       1.28 |       1.30 |       1.42 |       1.44 |       1.24 |       1.15 |       1.24 |       1.40
  Time (ns)                          |     941064 |     941064 |     941064 |     941064 |     941064 |     941064 |     941064 |     941064
  Idle time (ns)                     |     102030 |     147653 |     107016 |     111286 |     199802 |     242300 |     206819 |     130881
  Idle time (%)                      |      10.8% |      15.7% |      11.4% |      11.8% |      21.2% |      25.7% |      22.0% |      13.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     768891 |     778464 |     856493 |     870047 |     740854 |     685280 |     739628 |     842564
  num incorrect                      |        709 |        740 |        716 |        760 |        598 |        681 |        716 |        785
  misprediction rate                 |      0.09% |      0.09% |      0.08% |      0.09% |      0.08% |      0.10% |      0.10% |      0.09%
  mpki                               |       0.22 |       0.23 |       0.20 |       0.21 |       0.19 |       0.24 |       0.23 |       0.22
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1542144 |    1561365 |    1717360 |    1744539 |    1485867 |    1374876 |    1483631 |    1689648
    num cache misses                 |         13 |         16 |         15 |         16 |         16 |         15 |         16 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.01 |       0.01 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1637247 |    1656442 |    1812456 |    1839664 |    1580935 |    1469960 |    1578729 |    1784738
    num cache misses                 |      12012 |      11013 |      11882 |      11885 |       8808 |       8383 |       8754 |       8774
    miss rate                        |      0.73% |      0.66% |      0.66% |      0.65% |      0.56% |      0.57% |      0.55% |      0.49%
    mpki                             |       3.74 |       3.39 |       3.34 |       3.29 |       2.84 |       2.92 |       2.83 |       2.50
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      13294 |      11991 |      12852 |      12777 |       9926 |       9493 |       9785 |       9853
    num cache misses                 |       4527 |       1544 |        867 |        507 |       1853 |       1488 |       1303 |       1129
    miss rate                        |     34.05% |     12.88% |      6.75% |      3.97% |     18.67% |     15.67% |     13.32% |     11.46%
    mpki                             |       1.41 |       0.48 |       0.24 |       0.14 |       0.60 |       0.52 |       0.42 |       0.32
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5062 |       2021 |       1332 |        780 |       2577 |       2378 |       2174 |       2068
    num cache misses                 |         15 |          6 |         11 |          5 |          7 |          6 |          6 |          5
    miss rate                        |      0.30% |      0.30% |      0.83% |      0.64% |      0.27% |      0.25% |      0.28% |      0.24%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     114.97 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      61.54 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          5 |          4 |          3 |          3 |          3 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
