                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   84893537 |   82597752 |   86740428 |   87504232 |   71849530 |   88060056 |   86177984 |   88053794 |   87408246 |   88306996 |   81533696 |   85153816 |   81792666 |   83892468 |   88169250 |   86918730
  Cycles                             |   49208083 |   49208083 |   49208083 |   49208083 |   49208083 |   49208083 |   49208083 |   49208083 |   49208083 |   49208083 |   49208083 |   49208083 |   49208083 |   49208083 |   49208083 |   49208083
  IPC                                |       1.73 |       1.68 |       1.76 |       1.78 |       1.46 |       1.79 |       1.75 |       1.79 |       1.78 |       1.79 |       1.66 |       1.73 |       1.66 |       1.70 |       1.79 |       1.77
  Time (ns)                          |   18499280 |   18499280 |   18499280 |   18499280 |   18499280 |   18499280 |   18499280 |   18499280 |   18499280 |   18499280 |   18499280 |   18499280 |   18499280 |   18499280 |   18499280 |   18499280
  Idle time (ns)                     |     681858 |    1143032 |     318675 |     165934 |    3265854 |      65481 |     431830 |      62591 |     175560 |       4535 |    1363333 |     650370 |    1318727 |     906979 |      51421 |     296623
  Idle time (%)                      |       3.7% |       6.2% |       1.7% |       0.9% |      17.7% |       0.4% |       2.3% |       0.3% |       0.9% |       0.0% |       7.4% |       3.5% |       7.1% |       4.9% |       0.3% |       1.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   20986873 |   20412971 |   21448560 |   21639533 |   17725986 |   21778501 |   21308023 |   21776967 |   21615542 |   21840245 |   20146959 |   21051998 |   20211722 |   20736644 |   21805841 |   21493175
  num incorrect                      |       1239 |       1209 |       1281 |       1261 |       1139 |       1245 |       1214 |       1222 |       1252 |       1233 |       1201 |       1194 |       1182 |       1208 |       1212 |       1247
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   41979110 |   40831285 |   42902575 |   43284489 |   35457177 |   43562377 |   42621395 |   43559297 |   43236475 |   43685831 |   40299221 |   42109293 |   40428715 |   41478601 |   43617025 |   42991759
    num cache misses                 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   42704300 |   41556419 |   43627757 |   44009659 |   36182308 |   44287571 |   43346535 |   44284440 |   43961666 |   44411040 |   41024391 |   42834451 |   41153876 |   42203777 |   44342168 |   43716908
    num cache misses                 |      25993 |      25195 |      26415 |      26626 |      21921 |      26634 |      26107 |      26558 |      26665 |      26841 |      24770 |      25634 |      24712 |      25282 |      26541 |      26126
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.31 |       0.31 |       0.30 |       0.30 |       0.31 |       0.30 |       0.30 |       0.30 |       0.31 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      27219 |      26229 |      27416 |      27624 |      22932 |      27638 |      27139 |      27581 |      27862 |      27845 |      25791 |      26657 |      25748 |      26302 |      27580 |      27153
    num cache misses                 |      26008 |      25212 |      26431 |      26642 |      21937 |      26650 |      26123 |      26574 |      26681 |      26856 |      24786 |      25650 |      24728 |      25298 |      26558 |      26142
    miss rate                        |     95.55% |     96.12% |     96.41% |     96.45% |     95.66% |     96.43% |     96.26% |     96.35% |     95.76% |     96.45% |     96.10% |     96.22% |     96.04% |     96.18% |     96.29% |     96.28%
    mpki                             |       0.31 |       0.31 |       0.30 |       0.30 |       0.31 |       0.30 |       0.30 |       0.30 |       0.31 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      27219 |      26229 |      27416 |      27624 |      22932 |      27638 |      27139 |      27581 |      27862 |      27845 |      25791 |      26657 |      25748 |      26302 |      27580 |      27153
    num cache misses                 |      13852 |      13439 |      14049 |      14168 |      11186 |      13996 |      13653 |      14174 |      14446 |      14635 |      12897 |      13338 |      12672 |      12801 |      13815 |      13682
    miss rate                        |     50.89% |     51.24% |     51.24% |     51.29% |     48.78% |     50.64% |     50.31% |     51.39% |     51.85% |     52.56% |     50.01% |     50.04% |     49.22% |     48.67% |     50.09% |     50.39%
    mpki                             |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.17 |       0.17 |       0.16 |       0.16 |       0.15 |       0.15 |       0.16 |       0.16
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         87 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     216.76 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     163.33 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          4 |          5 |          3 |          5 |          4 |          4 |          4 |          3 |          4 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7793 |       7450 |       7812 |       8029 |       6380 |       8057 |       7876 |       8087 |       7898 |       8029 |       7178 |       7572 |       7248 |       7445 |       8061 |       7861
