                                     | Core 0     | Core 1    
  Instructions                       |      96857 |      96662
  Cycles                             |     611781 |     611781
  IPC                                |       0.16 |       0.16
  Time (ns)                          |     229993 |     229993
  Idle time (ns)                     |     205997 |     205758
  Idle time (%)                      |      89.6% |      89.5%
Branch predictor stats               |            |           
  num correct                        |      10887 |      10814
  num incorrect                      |        353 |        381
  misprediction rate                 |      3.14% |      3.40%
  mpki                               |       3.64 |       3.94
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      17487 |      17481
    num cache misses                 |         22 |         24
    miss rate                        |      0.13% |      0.14%
    mpki                             |       0.23 |       0.25
  Cache L1-D                         |            |           
    num cache accesses               |      51731 |      51683
    num cache misses                 |       1625 |       1797
    miss rate                        |      3.14% |      3.48%
    mpki                             |      16.78 |      18.59
  Cache L2                           |            |           
    num cache accesses               |       2414 |       2419
    num cache misses                 |         26 |         25
    miss rate                        |      1.08% |      1.03%
    mpki                             |       0.27 |       0.26
  Cache L3                           |            |           
    num cache accesses               |         27 |         29
    num cache misses                 |         26 |         25
    miss rate                        |     96.30% |     86.21%
    mpki                             |       0.27 |       0.26
DRAM summary                         |            |           
  num dram accesses                  |         44 |          0
  average dram access latency (ns)   |     126.72 |        inf
  average dram queueing delay        |      73.29 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          8
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
