                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     223147 |     223192 |     223441 |     223808
  Cycles                             |    2150905 |    2150905 |    2150905 |    2150905
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     808611 |     808611 |     808611 |     808611
  Idle time (ns)                     |     665902 |     665502 |     665012 |     664492
  Idle time (%)                      |      82.4% |      82.3% |      82.2% |      82.2%
Branch predictor stats               |            |            |            |           
  num correct                        |      19643 |      19557 |      19598 |      19638
  num incorrect                      |       1159 |       1163 |       1187 |       1174
  misprediction rate                 |      5.57% |      5.61% |      5.71% |      5.64%
  mpki                               |       5.19 |       5.21 |       5.31 |       5.25
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      18597 |      18658 |      18656 |      18715
    num cache misses                 |         22 |         24 |         24 |         25
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.10 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     136700 |     136834 |     136877 |     137043
    num cache misses                 |       2389 |       2520 |       2514 |       2610
    miss rate                        |      1.75% |      1.84% |      1.84% |      1.90%
    mpki                             |      10.71 |      11.29 |      11.25 |      11.66
  Cache L2                           |            |            |            |           
    num cache accesses               |       3168 |       3290 |       3346 |       3445
    num cache misses                 |         22 |         14 |         19 |         13
    miss rate                        |      0.69% |      0.43% |      0.57% |      0.38%
    mpki                             |       0.10 |       0.06 |       0.09 |       0.06
  Cache L3                           |            |            |            |           
    num cache accesses               |         23 |         17 |         23 |         16
    num cache misses                 |         22 |         14 |         19 |         13
    miss rate                        |     95.65% |     82.35% |     82.61% |     81.25%
    mpki                             |       0.10 |       0.06 |       0.09 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     131.22 |        inf |        inf |        inf
  average dram queueing delay        |      77.79 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          6 |          7 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
