                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     100570 |     100148 |     100186 |     100411 |     100444 |     100056 |     100096 |     100143
  Cycles                             |    1508244 |    1508244 |    1508244 |    1508244 |    1508244 |    1508244 |    1508244 |    1508244
  IPC                                |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Time (ns)                          |     567009 |     567009 |     567009 |     567009 |     567009 |     567009 |     567009 |     567009
  Idle time (ns)                     |     507282 |     511724 |     505094 |     510987 |     508972 |     508188 |     510560 |     507779
  Idle time (%)                      |      89.5% |      90.2% |      89.1% |      90.1% |      89.8% |      89.6% |      90.0% |      89.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10835 |      10867 |      10730 |      10830 |      10773 |      10846 |      10843 |      10820
  num incorrect                      |        634 |        598 |        684 |        645 |        678 |        589 |        598 |        612
  misprediction rate                 |      5.53% |      5.22% |      5.99% |      5.62% |      5.92% |      5.15% |      5.23% |      5.35%
  mpki                               |       6.30 |       5.97 |       6.83 |       6.42 |       6.75 |       5.89 |       5.97 |       6.11
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      17942 |      17875 |      17912 |      17917 |      17939 |      17869 |      17886 |      17889
    num cache misses                 |         24 |         25 |         24 |         26 |         26 |         25 |         25 |         24
    miss rate                        |      0.13% |      0.14% |      0.13% |      0.15% |      0.14% |      0.14% |      0.14% |      0.13%
    mpki                             |       0.24 |       0.25 |       0.24 |       0.26 |       0.26 |       0.25 |       0.25 |       0.24
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      53260 |      53063 |      53140 |      53176 |      53217 |      53012 |      53050 |      53070
    num cache misses                 |       2365 |       2268 |       2503 |       2269 |       2452 |       2417 |       2236 |       2559
    miss rate                        |      4.44% |      4.27% |      4.71% |      4.27% |      4.61% |      4.56% |      4.21% |      4.82%
    mpki                             |      23.52 |      22.65 |      24.98 |      22.60 |      24.41 |      24.16 |      22.34 |      25.55
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3107 |       2943 |       3271 |       2935 |       3076 |       3025 |       2852 |       3229
    num cache misses                 |       1105 |        971 |       1128 |        972 |       1059 |       1191 |       1090 |       1193
    miss rate                        |     35.56% |     32.99% |     34.48% |     33.12% |     34.43% |     39.37% |     38.22% |     36.95%
    mpki                             |      10.99 |       9.70 |      11.26 |       9.68 |      10.54 |      11.90 |      10.89 |      11.91
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1598 |       1374 |       1594 |       1336 |       1376 |       1536 |       1443 |       1544
    num cache misses                 |         10 |          7 |         31 |         10 |         10 |         12 |         14 |          7
    miss rate                        |      0.63% |      0.51% |      1.94% |      0.75% |      0.73% |      0.78% |      0.97% |      0.45%
    mpki                             |       0.10 |       0.07 |       0.31 |       0.10 |       0.10 |       0.12 |       0.14 |       0.07
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         83 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     158.31 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     104.88 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          9 |          6 |          6 |          8 |          5 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
