                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1404028 |    1404437 |    1405284 |    1403429 |    1404425 |    1403486 |    1404954 |    1404563 |    1404194 |    1403256 |    1403427 |    1404401 |    1402774 |    1404930 |    1403659 |    1403581
  Cycles                             |  102486091 |  102486091 |  102486091 |  102486091 |  102486091 |  102486091 |  102486091 |  102486091 |  102486091 |  102486091 |  102486091 |  102486091 |  102486091 |  102486091 |  102486091 |  102486091
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   38528606 |   38528606 |   38528606 |   38528606 |   38528606 |   38528606 |   38528606 |   38528606 |   38528606 |   38528606 |   38528606 |   38528606 |   38528606 |   38528606 |   38528606 |   38528606
  Idle time (ns)                     |   37095567 |   37094470 |   37089689 |   37095216 |   37094765 |   37095019 |   37089351 |   37092900 |   37104406 |   37105145 |   37104725 |   37099967 |   37107217 |   37100546 |   37104839 |   37105326
  Idle time (%)                      |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     110492 |     110579 |     110587 |     110521 |     110692 |     110458 |     110632 |     110542 |     110524 |     110466 |     110532 |     110478 |     110387 |     110633 |     110443 |     110469
  num incorrect                      |        724 |        698 |        797 |        635 |        691 |        689 |        723 |        743 |        718 |        656 |        626 |        768 |        669 |        704 |        721 |        695
  misprediction rate                 |      0.65% |      0.63% |      0.72% |      0.57% |      0.62% |      0.62% |      0.65% |      0.67% |      0.65% |      0.59% |      0.56% |      0.69% |      0.60% |      0.63% |      0.65% |      0.63%
  mpki                               |       0.52 |       0.50 |       0.57 |       0.45 |       0.49 |       0.49 |       0.51 |       0.53 |       0.51 |       0.47 |       0.45 |       0.55 |       0.48 |       0.50 |       0.51 |       0.50
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19693 |      19691 |      19736 |      19622 |      19597 |      19670 |      19678 |      19721 |      19689 |      19647 |      19612 |      19769 |      19642 |      19724 |      19696 |      19659
    num cache misses                 |         24 |         25 |         25 |         25 |         25 |         25 |         24 |         25 |         25 |         25 |         25 |         24 |         24 |         24 |         24 |         25
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.13%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     951356 |     951469 |     951743 |     951135 |     951308 |     951188 |     951609 |     951525 |     951407 |     951111 |     951135 |     951511 |     950963 |     951633 |     951251 |     951211
    num cache misses                 |       2866 |       2891 |       3022 |       2792 |       2899 |       2780 |       2955 |       2927 |       2731 |       2644 |       2647 |       2811 |       2536 |       2890 |       2666 |       2656
    miss rate                        |      0.30% |      0.30% |      0.32% |      0.29% |      0.30% |      0.29% |      0.31% |      0.31% |      0.29% |      0.28% |      0.28% |      0.30% |      0.27% |      0.30% |      0.28% |      0.28%
    mpki                             |       2.04 |       2.06 |       2.15 |       1.99 |       2.06 |       1.98 |       2.10 |       2.08 |       1.94 |       1.88 |       1.89 |       2.00 |       1.81 |       2.06 |       1.90 |       1.89
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3383 |       3397 |       3556 |       3237 |       3387 |       3258 |       3420 |       3444 |       3345 |       3218 |       3195 |       3448 |       3107 |       3582 |       3266 |       3256
    num cache misses                 |       2890 |       2916 |       3047 |       2817 |       2925 |       2805 |       2979 |       2952 |       2756 |       2669 |       2672 |       2835 |       2561 |       2914 |       2690 |       2681
    miss rate                        |     85.43% |     85.84% |     85.69% |     87.03% |     86.36% |     86.10% |     87.11% |     85.71% |     82.39% |     82.94% |     83.63% |     82.22% |     82.43% |     81.35% |     82.36% |     82.34%
    mpki                             |       2.06 |       2.08 |       2.17 |       2.01 |       2.08 |       2.00 |       2.12 |       2.10 |       1.96 |       1.90 |       1.90 |       2.02 |       1.83 |       2.07 |       1.92 |       1.91
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3383 |       3397 |       3556 |       3237 |       3387 |       3258 |       3420 |       3444 |       3345 |       3218 |       3195 |       3448 |       3107 |       3582 |       3266 |       3256
    num cache misses                 |       1820 |       1741 |       1783 |       1777 |       1649 |       1721 |       1706 |       1737 |       1657 |       1618 |       1574 |       1668 |       1517 |       1824 |       1561 |       1615
    miss rate                        |     53.80% |     51.25% |     50.14% |     54.90% |     48.69% |     52.82% |     49.88% |     50.44% |     49.54% |     50.28% |     49.26% |     48.38% |     48.83% |     50.92% |     47.80% |     49.60%
    mpki                             |       1.30 |       1.24 |       1.27 |       1.27 |       1.17 |       1.23 |       1.21 |       1.24 |       1.18 |       1.15 |       1.12 |       1.19 |       1.08 |       1.30 |       1.11 |       1.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        130 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     257.23 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     203.80 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          6 |          6 |          7 |          6 |          4 |          4 |          7 |          4 |          4 |          4 |          7 |          4 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        991 |        955 |        982 |        953 |        902 |        942 |        919 |        949 |        965 |        918 |        931 |        973 |        889 |       1041 |        927 |        936
